Resturaunts,Times,Menu,Calories: Macro Data
Rohr Café – La Prima ,"Friday: 7:30 AM - 6:00 PM
Saturday: 9:00 AM - 4:00 PM
Sunday: 9:00 AM - 4:00 PM
Monday: 7:30 AM - 6:00 PM
Tuesday: 7:30 AM - 6:00 PM
Wednesday: 7:30 AM - 6:00 PM
Thursday: 7:30 AM - 6:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/94/la-prima-wean_fallmenu1.pdf,
,,,
Millie’s Coffee ‘n’ Creamery – Rohr Commons ,"Friday: 9:30 AM - 6:00 PM
Saturday: 12:00 PM - 6:00 PM
Sunday: 12:00 PM - 8:00 PM
Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/136/24-millies-menu-v1.pdf,
,,,
Nourish ,"Friday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM
Saturday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM
Sunday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM
Monday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM
Tuesday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM
Wednesday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM
Thursday: 10:30 AM - 3:00 PM, 3:30 PM - 6:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/127/Updated%20Nourish%20menu%20fall%202023.pdf,
,,,
Ola Ola ,"Friday: 10:30 AM - 9:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 10:30 AM - 9:00 PM
Tuesday: 10:30 AM - 9:00 PM
Wednesday: 10:30 AM - 9:00 PM
Thursday: 10:30 AM - 9:00 PM",(can't find),
,,,
La Prima Espresso ,"Friday: 8:00 AM - 6:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM",(same as all la primas),
,,,
Redhawk Coffee ,"Friday: 8:00 AM - 5:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/186/red-hawk-2024-v1.pdf,
,,,
Revolution Noodle ,"Friday: 10:30 AM - 8:00 PM
Saturday: CLOSED
Sunday: 12:00 PM - 8:00 PM
Monday: 10:30 AM - 8:00 PM
Tuesday: 10:30 AM - 8:00 PM
Wednesday: 10:30 AM - 8:00 PM
Thursday: 10:30 AM - 8:00 PM",(can't find),
,,,
